scenario_id,tier,verdict,status,steps_used,prompt,expected_answer,agent_answer,required_source,cited_sources,reason_summary,open_coding_first_failure,axial_failure_mode,coding_notes
s-0001,T1,FAIL,malformed,3,What is the flagship product of Orrery Union?,Sable-4492,,doc-0098,,Malformed model output: missing answer and tool call,,,
s-0002,T1,FAIL,malformed,3,What is the internal codename of Zephyr Systems?,Ultra-4519,,doc-0103,,Malformed model output: missing answer and tool call,,,
s-0003,T1,PASS,answered,3,What is the internal codename of Girona Foundry?,Zinc-4524,The internal codename of Girona Foundry is **Zinc-4524**.,doc-0104,doc-0104,,,,
s-0004,T1,FAIL,malformed,6,What is the archival reference of Marrow Works?,Vellum-4545,,doc-0109,,Malformed model output: missing answer and tool call,,,
s-0005,T1,FAIL,malformed,8,Which firm is the external auditor of Juniper Systems?,Rune-4566,,doc-0113,,Malformed model output: missing answer and tool call,,,
s-0006,T1,FAIL,malformed,5,Which firm is the external auditor of Fathom Union?,Rune-4591,,doc-0118,,Malformed model output: missing answer and tool call,,,
s-0007,T1,FAIL,malformed,6,What is the flagship product of Borel Foundry?,Xeno-4597,,doc-0119,,Malformed model output: missing answer and tool call,,,
s-0008,T1,FAIL,model_failure,7,Which firm is the external auditor of Borel Collective?,Wisp-4621,,doc-0124,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0009,T1,FAIL,model_failure,7,In which district is Dovetail Foundry headquartered?,Talc-4643,,doc-0128,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0010,T1,FAIL,malformed,3,In which district is Kestrel Union headquartered?,Talc-4668,,doc-0133,,Malformed model output: missing answer and tool call,,,
s-0011,T1,FAIL,malformed,3,What is the internal codename of Nimbus Union?,Zinc-4674,,doc-0134,,Malformed model output: missing answer and tool call,,,
s-0012,T1,FAIL,malformed,4,What is the archival reference of Yarrow Collective?,Vellum-4695,,doc-0139,,Malformed model output: missing answer and tool call,,,
s-0013,T1,FAIL,malformed,3,What is the internal codename of Willow Labs?,Ultra-4719,,doc-0143,,Malformed model output: missing answer and tool call,,,
s-0014,T1,FAIL,model_failure,2,What is the flagship product of Juniper Labs?,Sable-4742,,doc-0148,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0015,T1,FAIL,model_failure,1,What is the archival reference of Solace Labs?,Vellum-4745,,doc-0149,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0016,T1,FAIL,model_failure,1,What is the internal codename of Willow Systems?,Zinc-4074,,doc-0014,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0017,T1,PASS,answered,3,What is the archival reference of Riven Foundry?,Vellum-4145,The archival reference of Riven Foundry is **Vellum-4145**.,doc-0029,doc-0029,,,,
s-0018,T1,PASS,answered,9,What is the internal codename of Aster Systems?,Kelvin-4384,The internal codename of Aster Systems is **Kelvin-4384**.,doc-0076,doc-0076,,,,
s-0019,T1,PASS,answered,6,What is the archival reference of Kestrel Collective?,Lumen-4385,The archival reference of Kestrel Collective is **Lumen-4385**.,doc-0077,doc-0077,,,,
s-0020,T1,FAIL,answered,5,Which firm is the external auditor of Aster Labs?,Rune-4391,I couldn’t verify the external auditor for Aster Labs from the available documents—the searches returned no matching source.,doc-0078,No matching document found,,,,
s-0021,T1,FAIL,malformed,5,Which firm is the external auditor of Ember Union?,Basalt-4401,,doc-0080,,Malformed model output: missing answer and tool call,,,
s-0022,T1,FAIL,malformed,5,What is the flagship product of Peregrine Systems?,Indigo-4407,,doc-0081,,Malformed model output: missing answer and tool call,,,
s-0023,T1,FAIL,answered,6,In which district is Quill Systems headquartered?,Onyx-4413,Quill Systems is headquartered in the Onyx district.,doc-0082,doc-0082,,,,
s-0024,T1,FAIL,malformed,6,What is the flagship product of Willow Works?,Xeno-4422,,doc-0084,,Malformed model output: missing answer and tool call,,,
s-0025,T1,FAIL,model_failure,7,What is the flagship product of Willow Foundry?,Cobalt-4427,,doc-0085,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0026,T1,FAIL,malformed,3,Which firm is the external auditor of Orrery Labs?,Helix-4431,,doc-0086,,Malformed model output: missing answer and tool call,,,
s-0027,T1,FAIL,model_failure,4,In which district is Cinder Foundry headquartered?,Onyx-4438,,doc-0087,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0028,T1,FAIL,model_failure,3,What is the flagship product of Peregrine Works?,Cobalt-4452,,doc-0090,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0029,T1,FAIL,model_failure,2,What is the internal codename of Xebec Systems?,Kelvin-4459,,doc-0091,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0030,T1,FAIL,model_failure,1,Which firm is the external auditor of Halcyon Collective?,Mica-4461,,doc-0092,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0031,T1,FAIL,model_failure,1,What is the archival reference of Zephyr Collective?,Quartz-4465,,doc-0093,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0032,T1,FAIL,model_failure,1,What is the flagship product of Dovetail Union?,Cobalt-4477,,doc-0095,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0033,T1,FAIL,model_failure,1,What is the internal codename of Nimbus Foundry?,Kelvin-4484,,doc-0096,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0034,T1,FAIL,model_failure,1,What is the archival reference of Nimbus Collective?,Lumen-4485,,doc-0097,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0035,T1,FAIL,model_failure,1,What is the internal codename of Borel Union?,Zinc-4499,,doc-0099,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0036,T1,PASS,answered,3,What is the archival reference of Girona Systems?,Alto-4500,The archival reference of Girona Systems is **Alto-4500**.,doc-0100,doc-0100,,,,
s-0037,T1,PASS,answered,5,What is the archival reference of Peregrine Collective?,Gossamer-4505,The archival reference of Peregrine Collective is **Gossamer-4505**.,doc-0101,doc-0101,,,,
s-0038,T1,FAIL,model_failure,9,In which district is Girona Collective headquartered?,Onyx-4513,,doc-0102,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0039,T1,FAIL,malformed,6,Which firm is the external auditor of Fathom Labs?,Basalt-4526,,doc-0105,,Malformed model output: missing answer and tool call,,,
s-0040,T1,PASS,answered,4,What is the internal codename of Solace Systems?,Kelvin-4534,The internal codename of Solace Systems is **Kelvin-4534**.,doc-0106,doc-0106,,,,
s-0041,T1,FAIL,malformed,6,Which firm is the external auditor of Borel Systems?,Mica-4536,,doc-0107,,Malformed model output: missing answer and tool call,,,
s-0042,T1,FAIL,malformed,5,In which district is Halcyon Foundry headquartered?,Talc-4543,,doc-0108,,Malformed model output: missing answer and tool call,,,
s-0043,T1,FAIL,malformed,3,What is the flagship product of Aster Collective?,Cobalt-4552,,doc-0110,,Malformed model output: missing answer and tool call,,,
s-0044,T1,FAIL,model_failure,7,Which firm is the external auditor of Tamarisk Systems?,Helix-4556,,doc-0111,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0045,T1,FAIL,model_failure,7,What is the flagship product of Quill Foundry?,Nyx-4562,,doc-0112,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0046,T1,FAIL,model_failure,5,Which firm is the external auditor of Juniper Union?,Wisp-4571,,doc-0114,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0047,T1,PASS,answered,4,What is the archival reference of Ironwood Foundry?,Alto-4575,The archival reference of Ironwood Foundry is **Alto-4575**.,doc-0115,doc-0115,,,,
s-0048,T1,FAIL,model_failure,1,What is the internal codename of Quill Collective?,Kelvin-4584,,doc-0116,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0049,T1,FAIL,model_failure,1,What is the internal codename of Cinder Union?,Prism-4589,,doc-0117,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0050,T1,FAIL,model_failure,1,What is the internal codename of Lodestar Labs?,Ferro-4604,,doc-0120,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0051,T1,FAIL,model_failure,8,In which district is Verdigris Labs headquartered?,Jade-4608,,doc-0121,,Model failure: litellm.InternalServerError: InternalServerError: OpenAIException - Internal Server Error,,,
s-0052,T1,FAIL,malformed,3,What is the flagship product of Zephyr Works?,Nyx-4612,,doc-0122,,Malformed model output: missing answer and tool call,,,
s-0053,T1,FAIL,malformed,3,What is the internal codename of Nimbus Labs?,Ultra-4619,,doc-0123,,Malformed model output: missing answer and tool call,,,
s-0054,T1,PASS,answered,3,What is the internal codename of Orrery Foundry?,Ferro-4629,The internal codename of Orrery Foundry is **Ferro-4629**.,doc-0125,doc-0125,,,,
s-0055,T1,PASS,answered,6,What is the flagship product of Juniper Works?,Indigo-4632,The flagship product of Juniper Works is **Indigo-4632**.,doc-0126,doc-0126,,,,
s-0056,T1,PASS,answered,4,What is the archival reference of Lodestar Union?,Lumen-4635,The archival reference of Lodestar Union is **Lumen-4635**.,doc-0127,doc-0127,,,,
s-0057,T1,FAIL,malformed,8,What is the flagship product of Dovetail Systems?,Xeno-4647,,doc-0129,,Malformed model output: missing answer and tool call,,,
s-0058,T1,PASS,answered,5,What is the internal codename of Xebec Union?,Ferro-4654,The internal codename of Xebec Union is **Ferro-4654**.,doc-0130,doc-0130,,,,
s-0059,T1,FAIL,model_failure,8,What is the internal codename of Lodestar Collective?,Kelvin-4659,,doc-0131,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0060,T1,PASS,answered,3,What is the archival reference of Kestrel Systems?,Lumen-4660,The archival reference of Kestrel Systems is **Lumen-4660**.,doc-0132,doc-0132,,,,
s-0061,T1,FAIL,malformed,3,What is the archival reference of Juniper Foundry?,Alto-4675,,doc-0135,,Malformed model output: missing answer and tool call,,,
s-0062,T1,FAIL,model_failure,5,Which firm is the external auditor of Orrery Collective?,Helix-4681,,doc-0136,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0063,T1,PASS,answered,4,What is the archival reference of Quill Union?,Lumen-4685,The archival reference of Quill Union is **Lumen-4685**.,doc-0137,doc-0137,,,,
s-0064,T1,FAIL,model_failure,1,Which firm is the external auditor of Ember Labs?,Rune-4691,,doc-0138,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0065,T1,FAIL,model_failure,1,What is the archival reference of Riven Collective?,Alto-4700,,doc-0140,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0066,T1,FAIL,model_failure,1,Which firm is the external auditor of Yarrow Systems?,Helix-4706,,doc-0141,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0067,T1,FAIL,model_failure,1,Which firm is the external auditor of Peregrine Union?,Mica-4711,,doc-0142,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0068,T2,FAIL,model_failure,12,Step 1: What is the archival reference of Umbra Systems? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the external auditor of that partner organization? Step 3: The organization holding external auditor from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Mica-4161,,doc-0032,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0069,T2,FAIL,model_failure,1,Step 1: What is the internal codename of Verdigris Works? Step 2: The organization holding internal codename from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Rune-4166,,doc-0033,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0070,T2,FAIL,model_failure,1,Step 1: What is the archival reference of Ironwood Collective? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the headquarters district of that partner organization? Step 3: The organization holding headquarters district from Step 2 is affiliated with a partner organization. What is the headquarters district of that partner organization? Provide the final answer for Step 3.,Onyx-4188,,doc-0037,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
